name,id,source,placement_rule,pct_new_chunks_hosting_anchor,expected_per_1000x1000_blocks,average_spacing,biome_terrain_restrictions,sample,relative_std_error,note
The Ward,dun:0,Claude Code dungeon room,"two lattices (A+B salts), one candidate per 22x22 chunks each (352 blocks), footprint 13x9x6; yields to register set pieces and admitted catalogue sites (Dungeons.taken)",0.3952,15.4371,about 1 per 250 x 250 blocks,"buried: floor seeded y12..ground-34 (any terrain); ladder shaft to daylight; 10,248 of 232,085 candidates yielded to a set piece/catalogue site","232,085 lattice cells in a 120k x 120k square; 221,837 admitted",0.04%,
The Ossuary,dun:1,Claude Code dungeon room,"two lattices (A+B salts), one candidate per 29x29 chunks each (464 blocks), footprint 11x11x7; yields to register set pieces and admitted catalogue sites (Dungeons.taken)",0.2338,9.1315,about 1 per 330 x 330 blocks,"buried: floor seeded y12..ground-34 (any terrain); ladder shaft to daylight; 2,662 of 133,885 candidates yielded to a set piece/catalogue site","133,885 lattice cells in a 120k x 120k square; 131,223 admitted",0.04%,
The Flooded Cistern,dun:2,Claude Code dungeon room,"two lattices (A+B salts), one candidate per 26x26 chunks each (416 blocks), footprint 13x13x8; yields to register set pieces and admitted catalogue sites (Dungeons.taken)",0.2900,11.3283,about 1 per 300 x 300 blocks,"buried: floor seeded y12..ground-34 (any terrain); ladder shaft to daylight; 3,333 of 166,124 candidates yielded to a set piece/catalogue site","166,124 lattice cells in a 120k x 120k square; 162,791 admitted",0.04%,
The Vault,dun:3,Claude Code dungeon room,"two lattices (A+B salts), one candidate per 31x31 chunks each (496 blocks), footprint 11x11x6; yields to register set pieces and admitted catalogue sites (Dungeons.taken)",0.2042,7.9774,about 1 per 350 x 350 blocks,"buried: floor seeded y12..ground-34 (any terrain); ladder shaft to daylight; 2,247 of 116,885 candidates yielded to a set piece/catalogue site","116,885 lattice cells in a 120k x 120k square; 114,638 admitted",0.04%,
The Warren,dun:4,Claude Code dungeon room,"two lattices (A+B salts), one candidate per 24x24 chunks each (384 blocks), footprint 15x11x6; yields to register set pieces and admitted catalogue sites (Dungeons.taken)",0.3389,13.2375,about 1 per 270 x 270 blocks,"buried: floor seeded y12..ground-34 (any terrain); ladder shaft to daylight; 4,682 of 194,909 candidates yielded to a set piece/catalogue site","194,909 lattice cells in a 120k x 120k square; 190,227 admitted",0.04%,
The Spire,dun:5,Claude Code dungeon room,"two lattices (A+B salts), one candidate per 34x34 chunks each (544 blocks), footprint 7x7x20; yields to register set pieces and admitted catalogue sites (Dungeons.taken)",0.1329,5.1901,about 1 per 440 x 440 blocks,"surface: 4 footprint corners within 3 blocks of each other, ground y64-132; 3,227 of 97,261 candidates yielded to a set piece/catalogue site","97,261 lattice cells in a 120k x 120k square; 74,584 admitted",0.18%,
The Wayside Chapel,dun:6,Claude Code dungeon room,"two lattices (A+B salts), one candidate per 38x38 chunks each (608 blocks), footprint 11x15x12; yields to register set pieces and admitted catalogue sites (Dungeons.taken)",0.07575,2.9591,about 1 per 580 x 580 blocks,"surface: 4 footprint corners within 3 blocks of each other, ground y64-132; 2,658 of 77,851 candidates yielded to a set piece/catalogue site","77,851 lattice cells in a 120k x 120k square; 42,524 admitted",0.33%,
The Checkpoint,dun:7,Claude Code dungeon room,"two lattices (A+B salts), one candidate per 28x28 chunks each (448 blocks), footprint 13x9x9; yields to register set pieces and admitted catalogue sites (Dungeons.taken)",0.1600,6.2492,about 1 per 400 x 400 blocks,"surface: 4 footprint corners within 3 blocks of each other, ground y64-132; 3,806 of 142,820 candidates yielded to a set piece/catalogue site","142,820 lattice cells in a 120k x 120k square; 89,803 admitted",0.20%,
The Sanatorium,dun:8,Claude Code dungeon room,"one lattice, one candidate per 33x33 chunks each (528 blocks), footprint 15x13x13; yields to register set pieces and admitted catalogue sites (Dungeons.taken)",0.04658,1.8196,about 1 per 740 x 740 blocks,"surface: 4 footprint corners within 3 blocks of each other, ground y64-132; 1,723 of 51,651 candidates yielded to a set piece/catalogue site","51,651 lattice cells in a 120k x 120k square; 26,149 admitted",0.43%,
The Trial Ground,dun:9,Claude Code dungeon room,"one lattice, one candidate per 29x29 chunks each (464 blocks), footprint 13x13x8; yields to register set pieces and admitted catalogue sites (Dungeons.taken)",0.06492,2.5359,about 1 per 630 x 630 blocks,"surface: 4 footprint corners within 3 blocks of each other, ground y64-132; 1,717 of 66,943 candidates yielded to a set piece/catalogue site","66,943 lattice cells in a 120k x 120k square; 36,442 admitted",0.35%,
The Cabin,dun:10,Claude Code dungeon room,"one lattice, one candidate per 25x25 chunks each (400 blocks), footprint 11x9x12; yields to register set pieces and admitted catalogue sites (Dungeons.taken)",0.1055,4.1210,about 1 per 490 x 490 blocks,"surface: 4 footprint corners within 3 blocks of each other, ground y64-132; 2,957 of 89,816 candidates yielded to a set piece/catalogue site","89,816 lattice cells in a 120k x 120k square; 59,220 admitted",0.24%,
The Everburning Shrine,dun:11,Claude Code dungeon room,"one lattice, one candidate per 27x27 chunks each (432 blocks), footprint 11x11x11; yields to register set pieces and admitted catalogue sites (Dungeons.taken)",0.08489,3.3161,about 1 per 550 x 550 blocks,"surface: 4 footprint corners within 3 blocks of each other, ground y64-132; 2,252 of 76,849 candidates yielded to a set piece/catalogue site","76,849 lattice cells in a 120k x 120k square; 47,653 admitted",0.28%,
The Quarantine Blockhouse,dun:12,Claude Code dungeon room,"one lattice, one candidate per 34x34 chunks each (544 blocks), footprint 15x13x12; yields to register set pieces and admitted catalogue sites (Dungeons.taken)",0.04387,1.7137,about 1 per 760 x 760 blocks,"surface: 4 footprint corners within 3 blocks of each other, ground y64-132; 1,585 of 48,519 candidates yielded to a set piece/catalogue site","48,519 lattice cells in a 120k x 120k square; 24,626 admitted",0.45%,
The Dead Highway,dun:13,Claude Code dungeon room,"one lattice, one candidate per 31x31 chunks each (496 blocks), footprint 15x9x6; yields to register set pieces and admitted catalogue sites (Dungeons.taken)",0.06131,2.3948,about 1 per 650 x 650 blocks,"surface: 4 footprint corners within 3 blocks of each other, ground y64-132; 1,989 of 58,443 candidates yielded to a set piece/catalogue site","58,443 lattice cells in a 120k x 120k square; 34,414 admitted",0.35%,
Spawner Room (Dungeons.plain),dun:14,Claude Code dungeon room,"vanilla-style spawner room: 26 random attempts per chunk (x,z 4-11, y 0-255), each built only if the actual blocks give a solid floor and ceiling and 1-5 wall openings; yields to set pieces, catalogue sites and lattice rooms",1.689,67.4256,about 1 per 120 x 120 blocks,needs cave air in the chunk (any biome); measured empirically,"EMPIRICAL: 13 random 48x48-chunk cells = 29,952 generated chunks, 517 rooms in 506 chunks (all 30 cells incl. targeted: 1325 rooms in 1298 of 69,120 chunks = 1.878%)",4.40%,"rate = share of chunks holding >= 1 room; per-1,000x1,000 count uses rooms per chunk"
Ashveil Tidal Capital,cat:ashveil_tidal_capital,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 116x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001324,0.0005,"about 1 per 44,000 x 44,000 blocks","mode underwater, tier 5, exclusive; biomes: Ashveil Coast; needs >= 90% of room samples below y62","956,483 legacy + 6,801,654 expansion regions (1,000k square); 517 sites",4.40%,
Rustwater Split-Avenue Metropolis,cat:rustwater_metropolis,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 140x212 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001249,0.0005,"about 1 per 45,300 x 45,300 blocks","mode surface, tier 5, exclusive; biomes: Rustwater Ward","956,483 legacy + 6,801,654 expansion regions (1,000k square); 488 sites",4.53%,
Gutterglass Four-Court Campus,cat:gutterglass_campus,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 116x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001365,0.0005,"about 1 per 43,300 x 43,300 blocks","mode surface, tier 3, exclusive; biomes: Gutterglass Schoolgrounds","956,483 legacy + 6,801,654 expansion regions (1,000k square); 533 sites",4.33%,
Tenement Wound Stair Borough,cat:tenement_wound_steps,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 80x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001772,0.0007,"about 1 per 38,000 x 38,000 blocks","mode surface, tier 4, exclusive; biomes: Tenement Wound","956,483 legacy + 6,801,654 expansion regions (1,000k square); 692 sites",3.80%,
Cinder Hospice Comb Ward,cat:cinder_hospice_wings,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x188 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001615,0.0006,"about 1 per 39,800 x 39,800 blocks","mode surface, tier 3, exclusive; biomes: Cinder Hospice","956,483 legacy + 6,801,654 expansion regions (1,000k square); 631 sites",3.98%,
Drowned Borough Arcade City,cat:drowned_borough_arcades,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.000006503,0.0003,"about 1 per 62,700 x 62,700 blocks","mode underwater, tier 4, exclusive; biomes: Drowned Borough; needs >= 90% of room samples below y62","956,483 legacy + 6,801,654 expansion regions (1,000k square); 254 sites",6.27%,
Whiteout Reservoir Boarding School,cat:whiteout_reservoir_school,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x212 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001526,0.0006,"about 1 per 41,000 x 41,000 blocks","mode surface, tier 3, exclusive; biomes: Whiteout Reservoir","956,483 legacy + 6,801,654 expansion regions (1,000k square); 596 sites",4.10%,
Penitent Spillway Prison Sluices,cat:penitent_spillway_prison,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001956,0.0008,"about 1 per 36,200 x 36,200 blocks","mode buried, tier 4, exclusive; biomes: Penitent Spillway","956,483 legacy + 6,801,654 expansion regions (1,000k square); 764 sites",3.62%,
Palimpsest Descending Archive,cat:palimpsest_archive,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001477,0.0006,"about 1 per 41,600 x 41,600 blocks","mode buried, tier 4, exclusive; biomes: Palimpsest Vaultlands","956,483 legacy + 6,801,654 expansion regions (1,000k square); 577 sites",4.16%,
Red Blossom Petal Manor,cat:blossom_shrine_manor,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 92x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001672,0.0007,"about 1 per 39,100 x 39,100 blocks","mode surface, tier 2, exclusive; biomes: Red Blossom Hollow","956,483 legacy + 6,801,654 expansion regions (1,000k square); 653 sites",3.91%,
Bloomfall Butterfly Tenements,cat:bloomfall_court,ChatGPT Codex catalogue (HorrorBiomes),"legacy grid: one candidate per 1,024x1,024-block region (density gate 20%, then 72%), design drawn from the anchor biome's legacy pool (55% exclusive); 104x200 site incl. 96-block approach; >= 2/3 of room samples in its biomes; not within 3,072 of spawn, next to a portal sanctuary, over a register set piece, or overlapping a legacy site",0.00001457,0.0006,"about 1 per 41,900 x 41,900 blocks","mode surface, tier 3, exclusive; biomes: Bloomfall Tenements","956,483 legacy + 6,801,654 expansion regions (1,000k square); 569 sites",4.19%,
